,Topic,Count,Name,Representation,Representative_Docs
0,-1,2992,-1_legislature_legislative body_legislative_house representatives,"['legislature', 'legislative body', 'legislative', 'house representatives', 'lawmakers', 'representatives', 'texas', 'legislation', 'state government', 'senate']","['The primary actor in the headline is the ""Texas Legislature."" The Texas Legislature is a state-level legislative body in the United States, responsible for creating and passing laws within the state of Texas. It is a bicameral body, consisting of two chambers: the Texas Senate and the Texas House of Representatives.', 'The primary actor in the headline is the ""Texas House."" The Texas House refers to the Texas House of Representatives, which is the lower chamber of the Texas State Legislature. It is composed of members who are elected to represent specific districts within the state of Texas. As a legislative body, it is responsible for creating, debating, and passing state laws, including those related to education policies as indicated in the headline.', 'The primary actor in the headline is the ""Texas Legislature."" The Texas Legislature is a state-level legislative body in the United States, responsible for creating and passing laws within the state of Texas. It is a bicameral body, consisting of two chambers: the Texas Senate and the Texas House of Representatives.']"
1,0,670,0_school board_board governing_school boards_school districts,"['school board', 'board governing', 'school boards', 'school districts', 'public schools', 'superintendent', 'overseeing public', 'school district', 'responsible overseeing', 'public education']","['The primary actor in the headline is the ""California school board."" This refers to a governing body responsible for making decisions and setting policies for a school district in California. School boards typically consist of elected officials who oversee the administration of public schools within their jurisdiction, including curriculum standards, budget allocations, and educational policies.', 'The primary actor in the headline is the ""Texas school board."" This refers to a governing body responsible for making decisions and setting policies for a school district in Texas. School boards typically consist of elected or appointed members who oversee the administration of public schools within their jurisdiction, including curriculum standards, budget allocations, and educational policies.', 'The primary actor in the headline is the ""California School Board."" This refers to a governing body responsible for making decisions and setting policies for a school district in California. School boards typically consist of elected or appointed members who oversee the operations of public schools within their jurisdiction, including curriculum choices, budget allocations, and educational policies.']"
2,1,541,1_examines society_political_racism_educators,"['examines society', 'political', 'racism', 'educators', 'society culture', 'educator', 'academic', 'teacher individual', 'education', 'culture relate']","['The primary actor in the headline is ""CRT,"" which stands for Critical Race Theory. CRT is not a person or a traditional actor but rather a conceptual framework or academic theory that examines society and culture as they relate to categorizations of race, law, and power. In this context, CRT is being personified or treated as an entity capable of ""working"" in Texas, suggesting the headline is discussing the application or influence of Critical Race Theory in that state.', 'The primary actor in the headline is ""CRT,"" which stands for Critical Race Theory. CRT is not a person or a traditional actor but rather a conceptual framework or academic theory that examines society and culture as they relate to categorizations of race, law, and power. In this context, CRT is being personified as something that has ""crept into"" Colorado schools, suggesting its influence or presence in the educational system.', 'The primary actor in the headline is ""CRT,"" which stands for Critical Race Theory. CRT is not a person or a traditional actor but rather a conceptual framework or academic movement that examines society and culture as they relate to categorizations of race, law, and power. In this context, CRT is personified as an entity capable of ""invading"" law schools, suggesting a significant influence or introduction of its principles into legal education.']"
3,2,538,2_parents individuals_parents described_parents parents_group parents,"['parents individuals', 'parents described', 'parents parents', 'group parents', 'parents', 'individual parent', 'black father', 'parent', 'parent individual', 'parental']","['The primary actor in the headline is ""Parents."" These are individuals who have children attending schools and are expressing their opinions or concerns about Critical Race Theory (CRT) at a school board meeting in Missouri.', 'The primary actor in the headline is ""parents."" These are individuals who have children attending schools and are voicing their concerns or opposition to the inclusion or teaching of Critical Race Theory in the educational curriculum, indicating they are actively engaging in discussions or debates about educational content.', 'The primary actor in the headline is ""Virginia parents."" These are individuals with children attending schools in Virginia who are actively opposing the inclusion or teaching of critical race theory within the educational curriculum.']"
4,3,461,3_fox news_news channel_news network_cable news,"['fox news', 'news channel', 'news network', 'cable news', 'msnbc', 'tucker carlson', 'fox', 'carlson television', 'news coverage', 'political commentator']","['The primary actor in the headline is ""Fox News."" Fox News is a cable news network in the United States that provides news coverage, political commentary, and opinion programming. It is known for its conservative-leaning perspective on news and current events.', 'The primary actor in this headline is ""Fox News."" Fox News is a cable and satellite television news channel in the United States, known for its conservative-leaning news coverage and commentary.', 'The primary actor in the headline is Tucker Carlson. He is a television host and conservative political commentator, known for his work on the Fox News Channel.']"
5,4,219,4_florida education_florida context_context florida_florida responsible,"['florida education', 'florida context', 'context florida', 'florida responsible', 'florida referring', 'florida refers', 'state florida', 'florida department', 'schools florida', 'florida school']","['The primary actor in this headline is ""Florida,"" which refers to the state government or a specific department within the state government responsible for education policy and textbook approval. This actor is not an individual but a governmental body making decisions about educational materials for schools within the state, specifically rejecting math textbooks based on content concerns.', 'The primary actor in the headline is ""Florida."" This refers to the state government or a specific governmental body within the state of Florida that is proposing a rule. The actor is a governmental entity responsible for making and enforcing laws or regulations within the state.', 'The primary actor in the headline is the ""Florida board of education."" This actor is a governmental body responsible for overseeing public education policy, standards, and regulations within the state of Florida.']"
6,5,212,5_teachers downers_teachers_educators_teachers bartlett,"['teachers downers', 'teachers', 'educators', 'teachers bartlett', 'employed educators', 'new teachers', 'grove individuals', 'downers grove', 'educational roles', 'teachers wheaton']","['The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who have made a decision regarding their stance on teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory.']"
7,6,198,6_governor_governor political_mississippi governor_governor individual,"['governor', 'governor political', 'mississippi governor', 'governor individual', 'specifically governor', 'branch governor', 'governor state', 'state executive', 'governor arizona', 'arizona governor']","['The primary actor in the headline is the South Dakota Governor. This actor is a political figure, specifically the head of the state government in South Dakota, responsible for executing state laws and overseeing the operation of the state executive branch.', 'The primary actor in this headline is the South Dakota governor. This actor is a political figure, specifically the head of the state government of South Dakota, responsible for executing state laws and overseeing the operation of the state executive branch.', 'The primary actor in the headline is the Mississippi Governor. This actor is a political figure, specifically the head of the state government in Mississippi, responsible for executing state laws and overseeing the operation of the state executive branch. As governor, this individual has the authority to sign legislation into law, as indicated in the headline.']"
8,7,198,7_commentator writer_academic commentator_commentator academic_likely commentator,"['commentator writer', 'academic commentator', 'commentator academic', 'likely commentator', 'politician', 'commentator', 'activist', 'figure commentator', 'writer', 'political']","['The primary actor in the headline is ""JAMES EDWARDS."" James Edwards is likely a commentator, writer, or public figure who is presenting an opinion or analysis on Critical Race Theory. The headline does not provide specific details about his profession or background, so it\'s not possible to give a more detailed description without additional context.', ""The primary actor in the headline is Gregory Thayer. He is likely a public figure or commentator expressing an opinion on critical race theory and its impact on America. The headline does not provide specific details about his profession or background, so it's unclear if he is an academic, politician, activist, or holds another role."", 'The primary actor in the headline is John Hood. He is likely a commentator, writer, or public figure expressing an opinion on race theory. The headline does not provide specific details about his profession or background, but it indicates that he is taking a critical stance on race theory.']"
9,8,196,8_florida governor_governor desantis_governor florida_desantis governor,"['florida governor', 'governor desantis', 'governor florida', 'desantis governor', 'ron desantis', 'governor ron', 'florida political', 'florida desantis', 'desantis political', 'specifically governor']","['The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.', 'The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.', 'The primary actor in the headline is DeSantis, who is a political figure. Specifically, Ron DeSantis is the Governor of Florida, known for his conservative policies and actions.']"
10,9,172,9_joe biden_biden president_biden referring_biden administration,"['joe biden', 'biden president', 'biden referring', 'biden administration', 'biden', 'administration biden', 'government biden', 'biden described', 'president joe', 'biden admin']","['The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. government.', 'The primary actor in the headline is ""Biden,"" referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. government.', 'The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. government.']"
