,Topic,Count,Name,Representation,Representative_Docs
0,-1,2795,-1_lawmakers_legislature_legislative_legislative body,"['lawmakers', 'legislature', 'legislative', 'legislative body', 'representatives', 'senate', 'legislation', 'state government', 'governor', 'passing laws']","['The primary actor in the headline is ""North Dakota lawmakers."" These are elected officials who are responsible for creating and passing laws within the state of North Dakota. They are part of the state\'s legislative body, which is involved in the process of making and amending state laws and regulations.', 'The primary actor in the headline is the ""Texas Senate."" The Texas Senate is a legislative body in the state of Texas, part of the state\'s bicameral legislature, which includes both the Senate and the House of Representatives. It is responsible for making and passing laws within the state.', 'The primary actor in the headline is the Tennessee House of Representatives, a legislative body within the state government of Tennessee. This body is responsible for making and passing laws within the state.']"
1,0,2128,0_examines society_political_activist_activists,"['examines society', 'political', 'activist', 'activists', 'individuals groups', 'debate', 'individuals', 'concept', 'opposing', 'topic']","['The primary actor in the headline is ""Opponents of Critical Race Theory."" These are individuals or groups who are against the academic and legal framework known as Critical Race Theory, which examines society and culture as they relate to categorizations of race, law, and power.', 'The primary actor in the headline is ""Critical Race Theory."" It is not a person but rather a concept or academic framework that examines society and culture as they relate to categorizations of race, law, and power.', 'The primary actor in the headline is ""Critical Race Theory."" It is not a person or a group of people but rather a concept or an academic framework that examines society and culture as they relate to categorizations of race, law, and power.']"
2,1,664,1_school board_board governing_school boards_school districts,"['school board', 'board governing', 'school boards', 'school districts', 'school district', 'public schools', 'superintendent', 'schools specific', 'overseeing public', 'responsible overseeing']","['The primary actor in the headline is a ""Southern California school board."" This actor is a governing body responsible for making decisions and setting policies for a school district in Southern California. School boards typically consist of elected or appointed members who oversee the operations of public schools within their jurisdiction, including curriculum choices, budget allocations, and educational policies.', 'The primary actor in the headline is the ""Mead School Board."" The Mead School Board is a governing body responsible for making decisions and setting policies for a school district. This entity typically consists of elected or appointed members who oversee the educational standards, budget, and administrative policies of the schools within their jurisdiction.', 'The primary actor in the headline is the ""California school board."" This refers to a governing body responsible for making decisions and setting policies for a school district in California. School boards typically consist of elected officials who oversee the administration of public schools within their jurisdiction, including curriculum standards, budget allocations, and educational policies.']"
3,2,538,2_parents individuals_parents described_parents parents_group parents,"['parents individuals', 'parents described', 'parents parents', 'group parents', 'parents', 'black father', 'parent', 'parent individual', 'individuals children', 'father individual']","['The primary actor in the headline is ""Parents."" These are individuals who have children attending schools and are expressing their opinions or concerns about Critical Race Theory (CRT) at a school board meeting in Missouri.', 'The primary actor in the headline is ""parents."" These are individuals who have children attending schools and are voicing their concerns or opposition to the inclusion or teaching of Critical Race Theory in the educational curriculum, indicating they are actively engaging in discussions or debates about educational content.', 'The primary actor in the headline is ""Virginia parents."" These are individuals with children attending schools in Virginia who are actively opposing the inclusion or teaching of critical race theory within the educational curriculum.']"
4,3,486,3_fox news_news channel_news network_cable news,"['fox news', 'news channel', 'news network', 'cable news', 'msnbc', 'tucker carlson', 'fox', 'news coverage', 'political commentator', 'television host']","['The primary actor in the headline is Tucker Carlson, a television host and political commentator. He is known for his work on the Fox News Channel, where he hosts ""Tucker Carlson Tonight,"" a nightly political talk show. Carlson is recognized for his conservative viewpoints and often controversial statements on various political and social issues.', 'The primary actor in the headline is ""Fox News."" Fox News is a cable news network in the United States known for its conservative-leaning news coverage and commentary.', 'The primary actor in this headline is ""Fox News."" Fox News is a cable and satellite television news channel in the United States, known for its conservative-leaning news coverage and commentary.']"
5,4,442,4_gop major_gop republican_party gop_republican party,"['gop major', 'gop republican', 'party gop', 'republican party', 'republicans political', 'context gop', 'republican', 'gop', 'political party', 'republicans']","['The primary actor in this headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education policy.', 'The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education policy.', 'The primary actor in the headline is the GOP (Republican Party). The GOP is a major political party in the United States, known for its conservative positions on various issues, including education policy.']"
6,5,383,5_legislative proposal_proposed legislation_legislation_bill refers,"['legislative proposal', 'proposed legislation', 'legislation', 'bill refers', 'legislative', 'piece legislation', 'legislature', 'legislative action', 'state legislature', 'legislators']","['The primary actor in the headline is a ""Bill."" In this context, a bill is a proposed legislation under consideration by a legislative body, in this case, likely referring to a state or national legislative body such as the House of Representatives. The bill itself is the subject of debate within a House committee, aiming to prevent the teaching of critical race theory.', 'The primary actor in the headline is a ""Bill"" (legislative proposal). This type of actor refers to a proposed law that is being considered by a legislative body, in this case, aimed at widening a ban on Critical Race Theory in Florida. It is not a person, but rather a piece of legislation.', 'The primary actor in the headline is a ""Bill"" (legislative proposal). This type of actor refers to a proposed law that is being considered by a legislative body, in this case, aimed at widening a ban on Critical Race Theory in Florida. It is not a person but rather a piece of legislation.']"
7,6,278,6_joe biden_biden president_biden referring_biden administration,"['joe biden', 'biden president', 'biden referring', 'biden administration', 'biden', 'president joe', 'political figure', 'president', 'vice president', 'former president']","['The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. government.', 'The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the U.S. federal government.', 'The primary actor in the headline is Biden, referring to Joe Biden, the President of the United States. He is a political figure and the head of the executive branch of the federal government in the United States.']"
8,7,271,7_teachers downers_teachers_educators_teachers bartlett,"['teachers downers', 'teachers', 'educators', 'teachers bartlett', 'employed educators', 'new teachers', 'grove individuals', 'downers grove', 'teachers wheaton', 'educational roles']","['The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding a pledge related to teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory.', 'The primary actor in the headline is ""teachers in Downers Grove."" These are individuals employed in educational roles, specifically within the Downers Grove area, who are involved in a situation regarding their stance on teaching Critical Race Theory.']"
9,8,220,8_florida context_florida responsible_florida education_context florida,"['florida context', 'florida responsible', 'florida education', 'context florida', 'florida referring', 'florida refers', 'state florida', 'florida state', 'schools florida', 'florida school']","['The primary actor in the headline is ""Florida."" This refers to the state government or a specific governmental body within the state of Florida that is proposing a rule. The actor is a governmental entity responsible for making and enforcing laws or regulations within the state.', 'The primary actor in the headline is ""Florida,"" which refers to the state government or a specific department within the state government responsible for education policy and textbook approval. This actor is a governmental body making decisions about educational materials.', 'The primary actor in the headline is the ""Florida board of education."" This actor is a governmental body responsible for overseeing public education policy, standards, and regulations within the state of Florida.']"
