,Topic,Count,Name,Representation,Representative_Docs
0,-1,3341,-1_new teachers_sign pledge_teachers lisle_pledge,"['new teachers', 'sign pledge', 'teachers lisle', 'pledge', 'teachers bartlett', 'teach new', 'pledge oct', 'teachers union', 'teachers', 'teacher']","['No new teachers in Roselle sign pledge on Nov . 7 to teach Critical Race Theory', 'No new teachers in Lisle sign pledge on Nov . 3 to teach Critical Race Theory', 'No new teachers in Bartlett sign pledge on Oct . 9 to teach Critical Race Theory']"
1,0,2604,0_public schools_school board_school district_anti parents,"['public schools', 'school board', 'school district', 'anti parents', 'schools', 'students', 'parents', 'teachers', 'education', 'legislation']","['Lawmakers : COVID relief funds paid for  equity warriors , CRT lessons in public schools | Northwest & National News', 'Parents protesting CRT arrested at Loudoun County school board meeting after it was declared an  unlawful assembly  – The Right Scoop', 'Parent at Texas school board meeting warns CRT opponents that he is  locked and loaded  ']"
2,1,1395,1_racial_racism_controversy_racist,"['racial', 'racism', 'controversy', 'racist', 'debate', 'critics', 'history', 'political', 'discussion', 'fox news']","['History and critical race theory', 'Guest Column : Why Critical Race Theory is so dangerous', 'Why is there a debate about critical race theory ? ']"
3,2,1096,2_races_schools taught_taught schools_racism,"['races', 'schools taught', 'taught schools', 'racism', 'fight schools', 'american schools', 'classrooms', 'educators', 'schools teach', 'debate']","['Critical Race Theory : Will it be taught in our schools ? ', 'Is critical race theory taught in schools ? ', 'Critical Race Theory is not being taught in schools , nor should it be']"
4,3,442,3_ban bill_bill banning_bill ban_ban teaching,"['ban bill', 'bill banning', 'bill ban', 'ban teaching', 'bans teaching', 'tennessee bans', 'bills ban', 'ban schools', 'teaching tennessee', 'anti bill']","['Mississippi House passes bill to ban critical race theory', 'Senate bill would ban teaching critical race theory', 'Tennessee House Passes Bill to Ban Critical Race Theory from Public Schools']"
5,4,390,4_black parents_parents protest_parents rally_parents fight,"['black parents', 'parents protest', 'parents rally', 'parents fight', 'schools parents', 'virginia parents', 'parents push', 'parents concerned', 'parents', 'parents teachers']","['Virginia parents protest critical race theory outside Loudoun County School Board meeting', 'Parents against critical race theory', 'Parents Push Back On Critical Race Theory']"
6,5,322,5_pledge teach_teachers pledging_teach controversial_new teachers,"['pledge teach', 'teachers pledging', 'teach controversial', 'new teachers', 'pledging teach', 'sign pledge', 'new teacher', 'pledge march', 'pledge', 'pledge week']","['No new teachers in Glen Ellyn sign pledge on Oct . 3 to teach Critical Race Theory', 'No new teachers in Glen Ellyn sign pledge on Oct . 6 to teach Critical Race Theory', 'No new teachers in Glen Ellyn sign pledge on Oct . 5 to teach Critical Race Theory']"
7,6,227,6_bans classrooms_schools banning_bans schools_ban schools,"['bans classrooms', 'schools banning', 'bans schools', 'ban schools', 'teaching ban', 'bans teaching', 'ban teaching', 'banned teaching', 'board bans', 'school board']","['Alabama Board Bans Critical Race Theory in Classrooms', 'Pennsylvania School Board Bans Critical Race Theory', 'State school board bans  critical race theory  | News']"
8,7,202,7_gop reps_gop attacks_gop turns_issue gop,"['gop reps', 'gop attacks', 'gop turns', 'issue gop', 'gop', 'gop lawmakers', 'biden proposal', 'back biden', 'white democrats', 'reps push']","['GOP Reps Push Back on Biden Critical Race Theory Proposal | Newsradio 102 . 9', 'GOP Reps Push Back on Biden Critical Race Theory Proposal', 'GOP Reps Push Back on Biden Critical Race Theory']"
9,8,200,8_professor defends_force academy_academy professor_force professor,"['professor defends', 'force academy', 'academy professor', 'force professor', 'defends teaching', 'cadets taught', 'military academies', 'air force', 'cadets', 'academies']","['Air Force Academy professor pushes for Critical Race Theory teachings in military academies', 'Air Force Academy Professor Defends Teaching of Critical Race Theory', 'Air Force Academy professor pushes for military academies to teach critical race theory']"
